movie_name,ranking,score,score_num
少年泰坦出击电影版,183,8.2,5296
天与地,184,8.2,3743
战略大作战,185,8.2,3512
达摩祖师,186,8.2,2860
疤面人,187,8.2,2767
红河,188,8.2,2695
盗日者,189,8.2,1607
侍,190,8.2,1511
座头市,191,8.2,1038
无双,192,8.1,772723
复仇者联盟3：无限战争,193,8.1,681156
功夫熊猫,194,8.1,465758
碟中谍6：全面瓦解,195,8.1,448973
银河护卫队,196,8.1,432915
明日边缘,197,8.1,388487
猩球崛起,198,8.1,362921
疯狂的赛车,199,8.1,278918
师父,200,8.1,250430
生化危机,201,8.1,247032
无间道3：终极无间,202,8.1,244216
超人总动员,203,8.1,241223
独立日,204,8.1,235143
罗拉快跑,205,8.1,201448
树大招风,206,8.1,162471
星际迷航,207,8.1,141500
秘密特工,208,8.1,123687
升级,209,8.1,121272
勇敢者的游戏,210,8.1,110379
生死时速,211,8.1,101695
黄飞鸿之二：男儿当自强,212,8.1,99061
未知死亡,213,8.1,87085
热血高校2,214,8.1,76027
狗咬狗,215,8.1,67844
怒火救援,216,8.1,61823
孤独的幸存者,217,8.1,50632
猎杀U-571,218,8.1,39731
座头市,219,8.1,37386
刀,220,8.1,31339
爱国者,221,8.1,31236
亡命天涯,222,8.1,31213
实尾岛,223,8.1,30077
少年菀得,224,8.1,23500
佐罗,225,8.1,14433
龙门客栈,226,8.1,12756
洛奇3,227,8.1,10611
天劫余生,228,8.1,8934
野鹅敢死队,229,8.1,6286
迎春阁之风波,230,8.1,5153
独孤：倒回,231,8.1,3794
侠僧探案传奇之大夜叉,232,8.1,3701
飞出个未来大电影3：班德的游戏,233,8.1,3205
血染雪山堡,234,8.1,2871
跳跃大搜查线：湾岸署史上最恶的3日间,235,8.1,2796
盘丝洞,236,8.1,2023
座头市物语,237,8.1,1474
太秦灯光下,238,8.1,1467
人斩,239,8.1,1184
两大一小三俘虏,240,8.1,1178
湄公河行动,241,8.0,605118
一代宗师,242,8.0,478413
天下无贼,243,8.0,396689
银河护卫队2,244,8.0,392676
美国队长2,245,8.0,380277
功夫熊猫2,246,8.0,375417
食神,247,8.0,324550
杀死比尔2,248,8.0,227310
星际迷航2：暗黑无界,249,8.0,192736
暗杀,250,8.0,177664
第五元素,251,8.0,172618
鹿鼎记2：神龙教,252,8.0,165022
异形2,253,8.0,114531
黄飞鸿之三：狮王争霸,254,8.0,108978
A计划,255,8.0,108033
暴力街区,256,8.0,105156
守法公民,257,8.0,92911
警察故事,258,8.0,84000
星球大战前传2：克隆人的进攻,259,8.0,80647
卑劣的街头,260,8.0,76737
危情三日,261,8.0,73541
走到尽头,262,8.0,64233
乐高蝙蝠侠大电影,263,8.0,53403
突袭2：暴徒,264,8.0,50907
精英部队,265,8.0,38809
囚室211,266,8.0,36896
浪客剑心：传说的完结篇,267,8.0,32778
决战犹马镇,268,8.0,32569
斯巴达克斯,269,8.0,18855
奇门遁甲,270,8.0,14828
蝙蝠侠：突袭阿卡姆,271,8.0,11112
正义联盟：战争,272,8.0,11044
学校风云,273,8.0,11016
新独臂刀,274,8.0,9685
红潮风暴,275,8.0,9672
大饭店,276,8.0,3612
忠烈图,277,8.0,2505
血洗鳄鱼仇,278,8.0,2146
众神与将军,279,8.0,1784
亡命大煞星,280,8.0,1205
美丽拳王,281,8.0,1089
阿阿奇与西西帕克,282,8.0,1044
2012,283,7.9,470068
美国队长3,284,7.9,398872
荒野猎人,285,7.9,342752
少林足球,286,7.9,315206
大内密探零零发,287,7.9,295229
蜘蛛侠,288,7.9,292413
武状元苏乞儿,289,7.9,273495
金刚,290,7.9,258265
逃学威龙,291,7.9,241970
超人总动员2,292,7.9,222915
隐秘而伟大,293,7.9,194170
生化危机2：启示录,294,7.9,188209
激战,295,7.9,163994
康斯坦丁,296,7.9,160475
狂怒,297,7.9,157616
方世玉,298,7.9,120546
兰戈,299,7.9,116577
热血高校,300,7.9,110963
天生杀人狂,301,7.9,98573
赌神2,302,7.9,83609
夺宝奇兵,303,7.9,72846
笑傲江湖,304,7.9,72493
保镖,305,7.9,68616
最后的武士,306,7.9,63267
局内人,307,7.9,62429
我要复仇,308,7.9,57341
浪客剑心,309,7.9,56491
给爸爸的信,310,7.9,54061
虎胆龙威3,311,7.9,48769
极恶非道,312,7.9,44774
浪客剑心：京都大火篇,313,7.9,38425
辣手神探,314,7.9,30758
奇迹,315,7.9,23858
警戒结束,316,7.9,23488
向日葵,317,7.9,17746
陆小凤传奇之陆小凤前传,318,7.9,16161
冲锋队之怒火街头,319,7.9,12732
省港旗兵,320,7.9,12715
探员卡特,321,7.9,8757
终极细胞战,322,7.9,7105
